month_end,symbol,ret_exc,mktcap_lag,size,bm_lag,mom12m,profit_lag,asset_growth_lag,sales_growth_lag,ev_ebitda_lag
2016-09-30,AAPL,0.0650091971353185,508381617200.00006,26.954498217464796,0.24890947217357406,0.11842006393169718,0.3802351385806695,0.0010646068979975,-0.1621733884526376,42.90358230378991
2016-10-31,AAPL,0.0044001415428167,508381617200.00006,26.954498217464796,0.2522691530554421,0.1836292610670157,0.380197216767694,0.0526305456116124,0.1060956607960715,44.218775229816934
2016-11-30,AAPL,-0.0268699894328989,604958320640.0,27.128425401099992,0.21199642293426477,0.1882294026098324,0.380197216767694,0.0526305456116124,0.1060956607960715,44.218775229816934
2016-12-31,AAPL,0.047836083966702796,604958320640.0,27.128425401099992,0.21199642293426477,0.1614594131769335,0.380197216767694,0.0526305456116124,0.1060956607960715,44.218775229816934
2017-01-31,AAPL,0.0472519337016574,604958320640.0,27.128425401099992,0.21199642293426477,0.2095954971436363,0.380197216767694,0.0526305456116124,0.1060956607960715,44.218775229816934
2017-02-28,AAPL,0.12847277521423858,604958320640.0,27.128425401099992,0.2188415226026504,0.25724743084529367,0.3851386708529565,0.0293920158166659,0.6723085460599334,24.73547920843565
2017-03-31,AAPL,0.0484591240875913,613796890240.0,27.1320515290033,0.21569024233445422,0.25868950684563097,0.3851386708529565,0.0293920158166659,0.6723085460599334,24.73547920843565
2017-04-30,AAPL,-0.0007783964365257,613796890240.0,27.1320515290033,0.21569024233445422,0.4472651446946901,0.3851386708529565,0.0293920158166659,0.6723085460599334,24.73547920843565
2017-05-31,AAPL,0.0628920634920634,613796890240.0,27.1320515290033,0.21844685454104004,0.3817137107155024,0.3892732909860859,0.0102403507871269,-0.324884175058391,47.54397873475436
2017-06-30,AAPL,-0.057683006022519,750841650880.0,27.1320515290033,0.17857560224962676,0.488057195913613,0.3892732909860859,0.0102403507871269,-0.324884175058391,47.54397873475436
2017-07-31,AAPL,0.0317909747292418,750841650880.0,27.1320515290033,0.17857560224962676,0.34101603089527804,0.3892732909860859,0.0102403507871269,-0.324884175058391,47.54397873475436
2017-08-31,AAPL,0.1018434104357181,750841650880.0,27.1320515290033,0.17636874545357933,0.3550809019776869,0.3851303735024665,0.0318086162160869,-0.1415607985480943,58.75409951766685
2017-09-30,AAPL,-0.061143902439024296,748300475520.0,27.1320515290033,0.17696768120851025,0.3926151152780865,0.3851303735024665,0.0318086162160869,-0.1415607985480943,58.75409951766685
2017-10-31,AAPL,0.0959076823254606,748300475520.0,27.1320515290033,0.17696768120851025,0.32777107129624555,0.3851303735024665,0.0318086162160869,-0.1415607985480943,58.75409951766685
2017-11-30,AAPL,0.015764126833885603,748300475520.0,27.1320515290033,0.17913525967874022,0.45134874305460504,0.3790676886209323,0.0873359156133301,0.1579237138830162,52.0900476568817
2017-12-31,AAPL,-0.0160303538175046,793629843360.0,27.1320515290033,0.16890367861229064,0.41977678592178785,0.3790676886209323,0.0873359156133301,0.1579237138830162,52.0900476568817
2016-09-30,ADBE,0.0606933633075945,49347433800.0,24.622151601473856,0.1474837785789785,0.1918705202198864,0.8615399117603061,0.0123320517357147,0.0466558805298314,115.35779132684726
2016-10-31,ADBE,-0.0096895890915791,51638344880.0,24.667530351288043,0.14094072954725578,0.2527638835274809,0.8615399117603061,0.0123320517357147,0.0466558805298314,115.35779132684726
2016-11-30,ADBE,-0.043816863547576905,51638344880.0,24.667530351288043,0.14094072954725578,0.2432742944359018,0.8615399117603061,0.0123320517357147,0.0466558805298314,115.35779132684726
2016-12-31,ADBE,0.0010617352397625,51638344880.0,24.667530351288043,0.14094072954725578,0.1995574308883249,0.8615399117603061,0.0123320517357147,0.0466558805298314,115.35779132684726
