symbol,month_end,company_name,sector,industry,qqq_weight,open,high,low,close,volume,vwap,monthly_return,cumulative_return,income_revenue,income_costOfRevenue,income_grossProfit,income_operatingExpenses,income_operatingIncome,income_interestExpense,income_ebitda,income_netIncome,income_eps,income_weightedAverageShsOut,income_weightedAverageShsOutDil,balance_cashAndCashEquivalents,balance_shortTermInvestments,balance_netReceivables,balance_inventory,balance_totalCurrentAssets,balance_propertyPlantEquipmentNet,balance_goodwill,balance_intangibleAssets,balance_totalAssets,balance_accountPayables,balance_shortTermDebt,balance_totalCurrentLiabilities,balance_longTermDebt,balance_totalLiabilities,balance_totalStockholdersEquity,balance_totalEquity,balance_retainedEarnings,balance_commonStock,cashflow_netIncome,cashflow_depreciationAndAmortization,cashflow_stockBasedCompensation,cashflow_operatingCashFlow,cashflow_capitalExpenditure,cashflow_purchasesOfInvestments,cashflow_salesMaturitiesOfInvestments,cashflow_commonStockRepurchased,cashflow_freeCashFlow,key_metrics_marketCap,key_metrics_enterpriseValue,key_metrics_evToSales,key_metrics_evToFreeCashFlow,key_metrics_evToEBITDA,key_metrics_evToOperatingCashFlow,key_metrics_earningsYield,key_metrics_freeCashFlowYield,key_metrics_returnOnEquity,key_metrics_returnOnAssets,key_metrics_returnOnInvestedCapital,key_metrics_returnOnCapitalEmployed,key_metrics_returnOnTangibleAssets,key_metrics_netDebtToEBITDA,key_metrics_currentRatio,key_metrics_incomeQuality,key_metrics_investedCapital,key_metrics_workingCapital,key_metrics_grahamNumber,key_metrics_capexToOperatingCashFlow,key_metrics_capexToRevenue,key_metrics_stockBasedCompensationToRevenue,ratios_grossProfitMargin,ratios_operatingProfitMargin,ratios_netProfitMargin,ratios_ebitdaMargin,ratios_ebitMargin,ratios_pretaxProfitMargin,ratios_priceToEarningsRatio,ratios_priceToBookRatio,ratios_priceToSalesRatio,ratios_priceToFreeCashFlowRatio,ratios_enterpriseValueMultiple,ratios_debtToEquityRatio,ratios_debtToAssetsRatio,ratios_debtToMarketCap,ratios_currentRatio,ratios_quickRatio,ratios_cashRatio,ratios_interestCoverageRatio,ratios_dividendYield,ratios_dividendPayoutRatio,ratios_effectiveTaxRate,ratios_revenuePerShare,ratios_netIncomePerShare,ratios_bookValuePerShare,ratios_freeCashFlowPerShare,ratios_operatingCashFlowPerShare,ratios_cashPerShare,growth_revenueGrowth,growth_grossProfitGrowth,growth_operatingIncomeGrowth,growth_netIncomeGrowth,growth_epsgrowth,growth_epsdilutedGrowth,growth_operatingCashFlowGrowth,growth_freeCashFlowGrowth,growth_debtGrowth,growth_assetGrowth,growth_bookValueperShareGrowth,country,exchange,market_cap_latest,beta,ipo_date
AAPL,1998-02-28,Apple Inc.,Technology,Consumer Electronics,7.455,0.18638,0.21317,0.1769,0.21094,3486563806,0.19222571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1998-03-31,Apple Inc.,Technology,Consumer Electronics,7.455,0.21038,0.25,0.19308,0.24554,10625988468,0.22885999999999998,0.16402768559780045,0.16402768559780045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1998-04-30,Apple Inc.,Technology,Consumer Electronics,7.455,0.24498,0.26451,0.22042,0.24442,8082946569,0.24295238095238098,-0.0045613749287285454,0.15871811889636867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1998-05-31,Apple Inc.,Technology,Consumer Electronics,7.455,0.24554,0.28237,0.22879,0.23772,6803794071,0.25941749999999997,-0.027411832092300137,0.12695553237887558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1998-06-30,Apple Inc.,Technology,Consumer Electronics,7.455,0.23661,0.25893,0.22879,0.25614,3909845451,0.2464818181818182,0.07748611812216044,0.21427894187920726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1998-07-31,Apple Inc.,Technology,Consumer Electronics,7.455,0.25781,0.3404,0.25446,0.30915,10927670859,0.30103545454545455,0.20695713281799022,0.4655826301317909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1998-08-31,Apple Inc.,Technology,Consumer Electronics,7.455,0.3058,0.39063,0.27679,0.27846,13220884869,0.3453638095238095,-0.09927219796215425,0.3200910211434531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1998-09-30,Apple Inc.,Technology,Consumer Electronics,7.455,0.28013,0.35882,0.27344,0.3404,8080327105,0.33158714285714286,0.22243769302592842,0.6137290224708449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1998-10-31,Apple Inc.,Technology,Consumer Electronics,7.455,0.32813,0.36886,0.25446,0.33147,12930938136,0.3199845454545454,-0.02623384253819039,0.571394709396037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1998-11-30,Apple Inc.,Technology,Consumer Electronics,7.455,0.33482,0.35156,0.28348,0.28516,10123531550,0.321654,-0.1397109844028116,0.35185360766094664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1998-12-31,Apple Inc.,Technology,Consumer Electronics,7.455,0.28571,0.37054,0.28237,0.36551,12927858554,0.3167372727272727,0.2817716369757328,0.7327676116431217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1999-01-31,Apple Inc.,Technology,Consumer Electronics,7.455,0.37612,0.42243,0.33092,0.36775,15127415577,0.37542684210526317,0.006128423298952246,0.7433867450459852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1999-02-28,Apple Inc.,Technology,Consumer Electronics,7.455,0.37221,0.37444,0.30804,0.31083,8116524991,0.3402121052631579,-0.15477906186267854,0.4735469801839389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1999-03-31,Apple Inc.,Technology,Consumer Electronics,7.455,0.31083,0.33147,0.28571,0.32087,9952016453,0.3051078260869565,0.03230061448380139,0.5211434531146302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1999-04-30,Apple Inc.,Technology,Consumer Electronics,7.455,0.32199,0.42076,0.29911,0.41071,15888984927,0.3372009523809524,0.27998878050300746,0.9470465535223291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1999-05-31,Apple Inc.,Technology,Consumer Electronics,7.455,0.41127,0.44643,0.36551,0.39342,8908913138,0.399583,-0.042097830586058316,0.8650801175689773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1999-06-30,Apple Inc.,Technology,Consumer Electronics,7.455,0.40179,0.4375,0.37556,0.4135,6918627788,0.41091818181818185,0.05103960144374975,0.9602730634303598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1999-07-31,Apple Inc.,Technology,Consumer Electronics,7.455,0.4135,0.50558,0.40346,0.49721,11466593474,0.46888809523809527,0.2024425634824667,1.35711576751683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1999-08-31,Apple Inc.,Technology,Consumer Electronics,7.455,0.49665,0.58817,0.4654,0.58259,9244612167,0.5258609090909091,0.17171818748617307,1.7618754148098996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
AAPL,1999-09-30,Apple Inc.,Technology,Consumer Electronics,7.455,0.59821,0.7154,0.51283,0.56529,18967487179,0.6342609523809524,-0.029694982749446597,1.6798615720109988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,NASDAQ,3656843872610.0,1.116,1980-12-12
