month_end,Size_Quintile1,Size_Quintile2,Size_Quintile3,Size_Quintile4,Size_Quintile5,BM_Quintile1,BM_Quintile2,BM_Quintile3,BM_Quintile4,BM_Quintile5,ProfitGPM_Quintile1,ProfitGPM_Quintile2,ProfitGPM_Quintile3,ProfitGPM_Quintile4,ProfitGPM_Quintile5,AssetGrowth_Quintile1,AssetGrowth_Quintile2,AssetGrowth_Quintile3,AssetGrowth_Quintile4,AssetGrowth_Quintile5,SalesGrowth_Quintile1,SalesGrowth_Quintile2,SalesGrowth_Quintile3,SalesGrowth_Quintile4,SalesGrowth_Quintile5,EVtoEBITDA_Quintile1,EVtoEBITDA_Quintile2,EVtoEBITDA_Quintile3,EVtoEBITDA_Quintile4,EVtoEBITDA_Quintile5,ROE_Quintile1,ROE_Quintile2,ROE_Quintile3,ROE_Quintile4,ROE_Quintile5,ROA_Quintile1,ROA_Quintile2,ROA_Quintile3,ROA_Quintile4,ROA_Quintile5,PS_Quintile1,PS_Quintile2,PS_Quintile3,PS_Quintile4,PS_Quintile5,EVSales_Quintile1,EVSales_Quintile2,EVSales_Quintile3,EVSales_Quintile4,EVSales_Quintile5,FCFYield_Quintile1,FCFYield_Quintile2,FCFYield_Quintile3,FCFYield_Quintile4,FCFYield_Quintile5,EPSGrowth_Quintile1,EPSGrowth_Quintile2,EPSGrowth_Quintile3,EPSGrowth_Quintile4,EPSGrowth_Quintile5,OCFGrowth_Quintile1,OCFGrowth_Quintile2,OCFGrowth_Quintile3,OCFGrowth_Quintile4,OCFGrowth_Quintile5,NetMargin_Quintile1,NetMargin_Quintile2,NetMargin_Quintile3,NetMargin_Quintile4,NetMargin_Quintile5,OpMargin_Quintile1,OpMargin_Quintile2,OpMargin_Quintile3,OpMargin_Quintile4,OpMargin_Quintile5,EBITDAMargin_Quintile1,EBITDAMargin_Quintile2,EBITDAMargin_Quintile3,EBITDAMargin_Quintile4,EBITDAMargin_Quintile5,DebtEquity_Quintile1,DebtEquity_Quintile2,DebtEquity_Quintile3,DebtEquity_Quintile4,DebtEquity_Quintile5,CurrentRatio_Quintile1,CurrentRatio_Quintile2,CurrentRatio_Quintile3,CurrentRatio_Quintile4,CurrentRatio_Quintile5,EarnYield_Quintile1,EarnYield_Quintile2,EarnYield_Quintile3,EarnYield_Quintile4,EarnYield_Quintile5,ROIC_Quintile1,ROIC_Quintile2,ROIC_Quintile3,ROIC_Quintile4,ROIC_Quintile5
2011-04-30,,0.06987512948944165,-0.012486120856737781,0.027170874751194396,-0.07238006516383266,,0.06811339463420132,0.013933194074344044,-0.07238006516383266,,,0.04462413119095395,0.013933194074344044,,-0.07238006516383266,,0.015629105006999985,,-0.06331825031282232,,,0.01735020793803066,-0.07238006516383266,0.045469089184041786,,,0.08468457572789477,0.045469089184041786,0.01735020793803066,-0.07238006516383266,,-0.07238006516383266,0.04601196137770334,0.04462413119095395,,,0.045832554107705314,0.06053678058462581,-0.07238006516383266,,,0.06811339463420132,-0.012498365553582455,,-0.07238006516383266,,-0.023827900521584285,0.027885282067796346,,-0.07238006516383266,,0.015629105006999985,,-0.06871155340831851,,-0.07238006516383266,,0.01735020793803066,0.045469089184041786,,,-0.06596102485213169,,0.04635115528644647,,,0.045469089184041786,0.08468457572789477,-0.07238006516383266,,,0.017143902246865905,,-0.07017096427367014,,,0.027170874751194396,,-0.07200260331170857,,,-0.07238006516383266,-0.012498365553582455,0.045469089184041786,,,0.045832554107705314,0.06811339463420132,0.013933194074344044,-0.07238006516383266,,-0.07238006516383266,0.04601196137770334,0.06811339463420132,,,0.08468457572789477,,-0.06871155340831851,
2011-05-31,0.01064592257439099,-0.028971507794755217,0.04174362417872883,-0.015055686831326652,-0.014071364177918674,0.02473462775901449,-0.007828953582041023,-0.022425496442245712,0.0177226933149241,-0.013970785413166768,-0.007476614703611198,-0.0042134490660947575,0.024320037401112365,0.017372435606721,-0.029119148674123074,0.013224628116156784,-0.00632262258887353,-0.028078366120977048,-0.012609882304487972,0.0030239735242786744,-0.007102512282720597,-0.011292761081747576,-0.023224144752447724,-0.002759429122308723,0.02687678614205895,-0.036040358582991414,-0.027207270128121217,-0.003147726911133843,-0.009048453153204083,0.013566417433600507,-0.001972971480832216,-0.01285977336758472,0.009031560022032264,0.0033181789783766004,-0.020251557549866638,0.009512314978884238,0.014866213929528842,-0.023735933653561025,-0.017289197363845737,-0.022709929811653137,-0.010779547359019486,0.005470261887633467,-0.005010818821925769,-0.016201534573448164,-0.012901105600453974,-0.003737633710620523,-0.005857631089527359,-0.00018112228535313384,-0.025343378382045968,-0.012901105600453974,-0.013901722047394423,0.014276330234936777,0.062499132752465415,-0.016178340056854295,-0.017695659502395412,-0.01874507689241649,-0.005899157487466306,-0.008430839817060248,0.013033093390011739,-0.01091719590826796,-0.013901722047394423,0.003249232457484352,-0.024498587274774625,0.019231301584654772,-0.03056913302216155,0.009751523547647556,0.018284424206008287,-0.0011166946921809492,-0.0181939210941794,-0.018631870142945404,-0.002473866137870335,0.01885065711347811,0.005342866588293477,-0.01583272786628012,-0.018473769886540994,-0.0016547724915086915,0.024674602171791057,0.02047835312094383,-0.017728977878531928,-0.019534535331412316,-0.003521348185086797,-0.017985594840436037,-0.03250346460101501,0.004948031937733653,0.02508451468492807,0.013633998486036478,-0.011014369687698181,-0.0014481666832106294,-0.017092794241480847,-0.024620523210938314,0.014326413552670225,-0.02308827630249545,0.02428943382484333,-0.017452573882557876,-0.04224552770340338,-0.007187762424507276,0.020064835621002735,0.004596440732429571,-0.026002417491872716,-0.01769234583073481
2011-06-30,-0.009340652825462877,-0.029439864025333853,-0.01587721092371578,-0.00627257828267583,-0.015881006138461034,0.0045669513889460495,-0.013481380913206938,-0.019359064917357286,-0.037829401819005584,-0.016572183546069503,0.00476964195603526,-0.03278527624631557,-0.0011053341681269632,-0.03816705592629339,0.016696803888344363,-0.0038868230483959953,-0.039900468260498194,-0.010689292072047227,-0.01452768117679521,-0.02141967170581923,-0.003323913007650205,-0.02332590704660266,-0.03363384952983209,-0.03310822260151204,-0.012798927343025537,-0.017394717007600664,-0.02418063932092497,-0.014734492541256514,-0.02763959007017026,0.014868995523232318,-0.007575233895849912,0.00673261051189639,-0.03509257258922749,-0.008299221993733206,-0.010920645473202888,-0.00988692206410856,0.006033858221591408,-0.02478444004928961,-0.03285104293903594,-0.009132514031570439,-0.01721015814704849,-0.0029959780885962157,-0.03659715941346007,-0.018760174994639615,-0.020464441283584583,-0.013113560019260657,0.003115230193299037,-0.019297352309470845,-0.031594679340486265,-0.017648531477325948,0.008244126828673533,0.0034993852131630465,-0.022131721596314286,-0.03869402738862562,0.0007680689496310258,-0.009982526639498569,0.01286208827510593,-0.02135666274330089,-0.031178365305388766,-0.038178335622896624,0.0034043214793071305,-0.03142222511242176,-0.03179173593864864,-0.04438000045937404,0.018772424913001098,0.009564977760938743,0.003553600515074315,0.005237358569886633,-0.042348376018283986,-0.019210538903498647,0.008642177398640231,0.004305195736021773,-0.022453490886961375,-0.021815272078714105,-0.020812308583594636,0.0031795280721596993,0.007895947686209609,-0.019891682721785174,-0.029000841967323557,-0.01755056587166605,-0.021316155239403032,-0.020791901019173088,-0.018114901265480276,-0.009305430373013015,-0.01715588554654729,-0.011425708976095492,0.00931167508329575,-0.01975337444574911,-0.013718476003490994,-0.036500232037915796,0.01931001370415441,0.00988257976682226,-0.026178364739207677,-0.036334131667082256,0.0007279300078313546,-0.008601580760836667,-0.012849630814959889,-0.017682409781763372,-0.03239351773592096,-0.009396647388227158
2011-07-31,-0.06583044966184998,-0.06874515975341643,-0.04568421845186435,-0.034610102313502145,0.03670625708226071,0.029373684004634998,0.08235419398586413,0.04385159782629095,-0.006163785683902283,-0.04014496020214863,-0.024672180574779108,0.08382447104381849,-0.063291394379484,0.07796731250950961,0.0077324029694424146,-0.06777657983404296,-0.05996407452800559,-0.021047717483368002,-0.0011752319640925236,0.11478022979627348,-0.014516963807696908,-0.018239965087441825,0.07536030625965917,-0.05623147541505577,0.057586444969948324,-0.04543186726113418,0.05329997234163204,-0.05032824589810868,0.10185073356714443,0.008269741040915794,-0.03972656778780722,-0.005014974339597642,0.05893234873968227,-0.0357850189882665,0.06375612861783908,-0.03575433085414393,-0.01671209998164923,-0.04205385974680717,0.09279378265150093,0.07545946324890082,-0.016498306903121672,-0.05809465023924543,0.0717205613183639,0.005346423753156782,0.11676136236430852,-0.03348761967117552,-0.023519886214985866,0.07426190740905052,-0.002524764531834983,0.11151864090216626,-0.029915203423415446,-0.005281383915486695,0.06415891511023472,-0.06451458992096026,0.07019682690620162,-0.020220346981382482,0.0018453669526863382,-0.02908202429164702,0.104107178883572,-0.07616919272273365,-0.03242884680002668,0.0037849632128265434,0.08204623811497175,-0.025247455816194572,0.05728877943979263,0.008355613830431234,-0.05525110683245024,-0.047959250575047734,-0.04697207680313999,0.09997033011402856,0.011981321373337944,-0.07114219597236288,-0.03349291995679201,-0.052553963363753495,0.10440887422668066,0.008388040203001223,-0.051401506928516985,-0.054364605581249975,0.047719126475187376,0.09470043393836554,0.09433886331956821,0.0958705440741228,0.010188624065239188,-0.03250541986318229,-0.07000372188923386,-0.03894377144342768,-0.02363001981433688,0.08170497317859587,0.005095400151511254,0.11990921685400345,0.04916938312246316,-0.027539845094966053,0.06677874334474401,-0.03388955652190686,0.0695366201672774,-0.03946261176293405,-0.014392946653255074,-0.040560298600526457,0.09731495063893329,0.08217581950336389
2011-08-31,-0.09820478954415189,-0.043648281369609986,-0.04910183308647561,-0.05333753259579322,-0.048796160767016615,-0.043067315713384485,-0.02911742843546239,-0.05790425085550958,-0.03521094197945605,-0.03263230620202168,-0.02829875322867278,-0.04111005194177432,-0.010452043004225694,-0.0752239485378773,-0.031392630004741844,-0.02527789753378808,-0.07317351298863617,-0.018971454147888003,-0.07230101136950284,-0.028593565713325577,-0.014817477120402076,-0.07306020649158591,-0.05896155603452892,-0.04068591928346313,-0.037849334881944405,-0.05374548395700767,-0.029977019459268818,-0.037111213075254536,-0.0785918522073078,-0.0516452069615946,-0.06318941086224242,-0.04252525330354934,-0.05706428101767641,-0.05131467247326075,-0.035355063339208195,-0.0669332910795091,-0.04822684758065214,-0.015220696116418351,-0.09047691026648769,-0.03187174820360302,-0.009149066289537556,-0.06000997253658448,-0.03162595587656362,-0.03283630226503236,-0.08763107161644271,-0.038749317214234254,-0.03128270874044915,-0.03525162242524874,-0.03347214336969796,-0.08489592436438331,-0.004689357877610171,-0.06266282777527242,-0.07123424328068931,-0.041400375564021326,-0.025481972348392435,-0.0038238307953295295,-0.061537250225775816,-0.039242852167543446,-0.05734718830339319,-0.04622265611975998,-0.010463578495834788,-0.05803913662692564,-0.08130949631356885,-0.03089568577871729,-0.030674311439185028,-0.015272051709783262,-0.0799679255621397,-0.022300863790933982,-0.05348990758717854,-0.05324158313486805,-0.012743745400853705,-0.062244377258191055,-0.03587741276249559,-0.06272734934403947,-0.05236548620604015,-0.01265961467167467,-0.056236882879537695,-0.045238666859317336,-0.04261006722790555,-0.0640000262329631,-0.028479436770534865,-0.08408620709787704,-0.0381688069610866,-0.026731833054443738,-0.04311590255740803,-0.013940360685969459,-0.04761183231176942,-0.044912852920078544,-0.04135102408451525,-0.08447293761631722,-0.05379046820470546,-0.04791219051585305,-0.09362157487706399,-0.026111685171983506,-0.028078011687830993,-0.06044278588904615,-0.04940843221643915,-0.023652670231191754,-0.09142018830730318,-0.0330394170512292
2011-09-30,-0.06514764102000367,-0.08045069592436219,-0.030549743589547998,-0.07911735685393878,-0.02766369823296003,-0.06715455126962801,-0.03904765091551965,-0.04233255101686638,-0.004057803095636125,-0.038926616716628774,-0.03205210749315305,-0.03471525680689681,-0.028497771860485202,-0.033249959720300384,-0.05077037209121889,-0.04962218656266872,-0.008125685794066115,-0.037188655661651096,-0.03818934081765411,-0.04267812077551298,-0.050056044318693774,-0.021008043799457848,-0.03872831907684186,-0.062105479644322475,-0.02887941650565548,0.005616838208844702,-0.034128789893178434,-0.04527626448161007,-0.0459978912584807,-0.04319508811537549,-0.04674008376471609,-0.026938861036218325,-0.04164075553116803,-0.04329076304231124,-0.029956503545262615,-0.03245389679695791,-0.026348133740573564,-0.044873255094818876,-0.05275229498469483,-0.03616846004011576,-0.0304777401377928,-0.021270692839260877,-0.019475313588930485,-0.055031501391157506,-0.06267101625916645,-0.014488869685493198,-0.03737275372254119,-0.01630361657599331,-0.048027754201271845,-0.08882960447991381,-0.0168523226219905,-0.08388971839469585,-0.02711475956645358,-0.05517150557353155,-0.01625393045625848,-0.03572003770824446,-0.0182892744306099,-0.04242676742201161,-0.04263687501057225,-0.018741124377244327,-0.05155777086249974,-0.06821453606855932,-0.014762927334770734,-0.020845059748136198,-0.040398387809603684,-0.014502298790485863,-0.08633262196356625,-0.028169530400551673,-0.01906761519640614,-0.03867545839666571,-0.012243252100907464,-0.05324223838205214,-0.055042571217480574,-0.05499953233555507,-0.02873327052484643,-0.013184190135501468,-0.06425010167495318,-0.00944601289407637,-0.03368139789048128,-0.059385376470888165,-0.008804944029062397,-0.025218577122176556,-0.04343143675572069,-0.04906703846420282,-0.06435129397123772,-0.02761376297594169,-0.0687790730648048,-0.0136430296732256,-0.050373061869585,-0.03273424747962281,-0.01509603492373589,-0.06900469032468412,-0.03852059969147286,-0.0419288661709791,-0.019588576375846926,-0.029561282995967643,-0.04076840292186452,-0.03924277671316091,-0.03895480628803916,-0.04493795054532797
2011-10-31,0.14940270942935902,0.13346800227844843,0.10772535179557052,0.11510204368206389,0.09923744797347919,0.01799391724687605,0.07138506450404056,0.12644411307248246,0.11181695236454918,0.11047973588427536,0.07608777504282918,0.0829036388155502,0.07119268196138118,0.1378364707513491,0.08090853912871611,0.13275353404887338,0.08049306927049832,0.13923945951877076,0.1055165094195175,0.07424021285656188,0.09847346051237267,0.08657546416371803,0.10208373369545405,0.10199920986875961,0.09336420424792134,0.0597974625771791,0.10195496638816431,0.07631365694610896,0.11981005311775955,0.08147853721532816,0.018613812392780173,0.10904222760208541,0.13216116547809192,0.13332540269137183,0.07191206611582172,0.02152364486271464,0.1388687001218695,0.08441432789868589,0.12147254299085919,0.08081325254617895,0.10036029453672309,0.10520936141315668,0.09627920747352377,0.09908496360017717,0.088087078112577,0.1188548833366175,0.06954795061430866,0.1014536005664891,0.07753968426250171,0.12397212683286014,0.12040509836091326,0.0698275103574257,0.0935010431322072,0.12348297570684325,0.08786802393669324,0.09599204036877414,0.07578329750527103,0.08657981316215788,0.11841537456628223,0.11822341328730712,0.12127137926972571,0.10875717196215832,0.11291136749666532,0.1065709808077834,0.0570102369967279,0.01804482676014728,0.10764993347794792,0.0999959629342888,0.1336837563297431,0.10276422142372153,0.020257824499356453,0.12432455858030957,0.06734371541307116,0.11946881388065432,0.10377129907752738,0.05549009520680575,0.15179361650179934,0.10998651727248118,0.0847257390524765,0.10990128144816441,0.06449006198027005,0.13042372627369328,0.11733163333890999,0.08565269980428208,0.08386331361137649,0.07333545334693914,0.05593798835187625,0.10867964287531405,0.10380565321739568,0.1357411492161836,0.020409919189929966,0.09203632686654556,0.1289543301773224,0.0991321541360285,0.10805210011076954,0.05094155039648728,0.12791986677403153,0.08163586674682555,0.155686688903123,0.0706963734990476
2011-11-30,0.05905204460145956,0.03009881813085427,-0.02937035548474305,-0.027118669990585466,0.001973992002211182,-0.04086566143857736,-0.035430341505555844,-0.00047983593867538434,0.013365947497889706,-0.0029649007093140996,-0.0016983790702782015,-0.05218893778516791,0.01729497319269465,0.01091440356716973,-0.03220461655986255,-0.008125246560044774,-0.011205318399726253,-0.0039224780303660205,0.025973872943076286,-0.029668803116600445,0.005102275876694973,-0.04196268936300544,0.001513821516800966,0.02411825747021589,-0.0017081000671296356,-0.02113479795506771,-0.0026584223703485284,0.00325557322460726,-0.016398310076123405,-0.03387950557349191,-0.04659920311276042,-0.006715834668679558,0.01302666165919515,0.012760757513949401,-0.029249746406476543,-0.04538140207264318,-0.005988577035339634,0.017881643060139327,0.012332820533917968,-0.03581023566135732,0.03000589312687208,-0.015157250410422431,-0.01718215799532824,-0.046927446505456834,0.024168473204147896,0.02255292495143311,-0.0009976779456185303,-0.03205574505376405,-0.043656283465567526,0.02077119286866769,-0.008511350855701715,-0.03401687093909842,-0.03481634512164214,0.01582444813722334,-0.020855597422195376,-0.02515516225483045,-0.044792636640548784,-0.006177987715340155,0.01581449287695419,-0.0025473440129931604,0.00010747169197272959,-0.04185811298315816,0.008390158004237107,-0.0014402087111872383,-0.007528336894651207,-0.0013760338434206654,-0.0025265379178579716,0.0011251360489120794,-0.035769907649701345,-0.0023588006566452303,-0.04440086497711554,0.02241517479980299,-0.006006046128644081,-0.01610527811187919,-0.017095723440576003,-0.005639725529007094,0.00781123032842729,0.008190522826072499,-0.03798295724670656,-0.0009109420144195136,-0.0546374344198513,0.019641778944712168,-0.029072825994194928,0.0018373738355058735,0.0021434693786762963,0.014377028864725973,-0.047573020772868596,-0.0008566144424653244,-0.017996318314554123,0.009828632824270342,-0.05299033594776586,0.02915940484568874,0.00043014351781816423,-0.019885744046952127,-0.01750405358587375,-0.05167304926699775,-0.001179028380131764,0.021196482383668783,0.007429483005623626,-0.035809256154081766
2011-12-31,-0.023166555084705356,0.013466021770813465,0.011538666244788595,0.009009057422151408,0.01855604203063819,-0.056430456146884744,0.03767507947130722,0.03534684138448045,-0.0026092524177210898,0.023450941523943596,-0.015898284379419217,0.04475469185555497,0.029188663347217904,0.02889805822515018,0.022971318422091387,-0.001981212687739672,0.02668586017530207,0.005060586382368646,0.021466318050464228,0.03156695370951588,-0.012097672238196763,0.04319039446428594,-0.00016141284283037677,0.022678355335110752,0.023381464517857747,0.007011374779259022,0.0017367439522281004,0.015621664355113647,0.03331620928528082,0.06548304860245646,-0.021095948793790856,-0.00923999106942871,0.04027903198660016,-0.003344131936607711,0.031009185095204447,-0.06667190105206819,0.03414443752834882,0.0006871728800989471,0.04801132688434291,0.029701491230126293,0.008569612665642032,0.009305059817337463,-0.034699448473332235,0.04120286832336955,0.0538002893195318,0.008139798901282464,0.011983342285149273,-0.03331255800562714,0.042451720526027414,0.049914071378062634,0.0006465217953587864,-0.006452502312094717,0.05972898298129556,0.007460578829947828,0.002045490487915951,-0.026055552254653953,0.037929700001770504,0.04024902709820783,0.012646748611308031,-0.0019276664907912238,0.02713293876189221,0.03579009264029145,0.054572775229873555,0.0009250404768030451,-0.015353365456415921,-0.05994399824087144,0.01932695180817647,0.03995983743543041,-0.010238766623522796,0.04202106347701311,-0.06337631276926126,0.03008317936338157,0.008440738831272386,0.010197973364282738,0.04172306142367079,-0.027662463125420533,0.012103484190090856,0.036920938167971415,0.026664257676581534,0.03928136661855677,0.021850196795685065,0.03930451087044261,-0.000306369287852078,0.024739417800144763,0.015946425203718834,0.02565480683762272,0.01715222466058242,-0.011823932383468034,-0.0005258868565620016,0.07306167784370544,-0.06667190105206819,0.02749510238173692,0.04702879960847539,0.028273383380719042,0.006872550101693729,-0.07089571575570952,0.032406140521631835,-0.0018698994364557877,0.0610652582943303,0.030913246723833835
2012-01-31,0.03982873217199307,0.2050610623539056,0.08110775646280008,0.059596636846562016,0.02700056921591525,0.1460484116426499,0.08934673457065558,0.005897067416598029,0.0899121359652949,0.04576600882320516,0.05975580276442001,0.10824479206665245,0.04000783385291534,-0.010129385314547391,0.1291413693941374,0.1083708559139337,0.05499140953000461,0.060517901174609035,0.08102218693725738,0.02813603623858127,0.07846704586917215,0.08829262292661604,0.06344856458860491,-0.05030008338130056,0.10810578943855859,0.11891860319472121,0.1140835165007657,0.045638881204126194,-0.029085790054862903,0.0946346681382802,0.10216791139272327,0.0831683650331197,-0.021997127399107443,0.08681127942594483,0.10579870504406977,0.1141901266978264,0.053679894805847485,0.057460465262366825,-0.03521452366753497,0.11870755927020846,0.04342811686315862,0.06275618590488229,0.11185942591791083,0.08784529747351122,-0.045348593985967266,0.06625328283255086,0.06042186924038774,0.10674531818182706,0.07125455572922368,-0.033767185270993864,0.060980410640326346,0.050130809572067704,-0.04681655742525946,0.08179024589415408,0.11003314925136794,0.08170208729238819,0.06113676531846319,-0.03052322970779099,0.08330148246477846,0.10871144977753938,0.06939068991690006,0.10118364169207164,-0.060276780357117796,0.07514213719301036,0.09250860952738861,0.09736849386846248,0.06596952976866481,0.02463466656526567,0.07080513394489024,0.044407411556446556,0.09903866030885305,0.0582143106902952,0.05342805791286406,0.05213372843400615,0.04399652539794609,0.06193585689701938,0.08189510592433563,0.03867844732084702,0.06705806839332369,0.04522636185026999,0.117149636668291,0.019937926310421763,0.08619993410997721,0.06897243510983381,0.018474790079210438,0.025350683137037477,0.10597925053740002,0.10167694295963545,0.12031225723063313,-0.06138803938444956,0.11738039440898555,0.07206018283569016,-0.032306463763974703,0.04790086247860398,0.1092792397977832,0.1140918474839592,0.06418726842279789,0.05356853718438718,-0.04865185259094776,0.1241845527268055
