,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
201710   ,0.29   ,1.57   ,2.48   ,0.56   ,1.76   ,2.10
201711  ,-0.44   ,1.19   ,1.49   ,0.63   ,0.93   ,0.68
201712   ,3.38   ,3.24   ,3.27   ,2.01   ,1.99   ,0.79
201801   ,3.97   ,4.80   ,6.22   ,3.63   ,4.96   ,6.01
201802  ,-3.85  ,-2.18  ,-2.80  ,-4.41  ,-4.81  ,-3.19
201803  ,-1.59  ,-1.01  ,-1.76  ,-0.64  ,-1.19  ,-1.51
201804   ,1.03   ,0.57  ,-0.71   ,1.81   ,2.11   ,2.19
201805  ,-1.28  ,-0.97   ,0.60  ,-2.62  ,-2.10   ,0.34
201806  ,-2.76  ,-2.19  ,-2.63   ,0.21  ,-1.88  ,-2.05
201807   ,0.15   ,0.10  ,-0.77   ,3.32   ,2.06   ,0.90
201808  ,-1.83  ,-1.72  ,-0.36  ,-2.93  ,-2.07  ,-0.57
201809  ,-0.33   ,0.41   ,0.72   ,0.22   ,0.83   ,1.61
201810  ,-9.15  ,-7.76 ,-11.61  ,-8.11  ,-7.41 ,-10.17
201811   ,0.38   ,0.12  ,-0.72   ,0.67   ,0.98  ,-2.00
201812  ,-7.85  ,-5.92  ,-6.78  ,-6.82  ,-4.54  ,-3.92
201901   ,7.48   ,4.69   ,6.21   ,8.65   ,6.83   ,5.31
201902   ,2.74   ,1.42   ,2.02   ,2.63   ,2.33   ,2.78
201903  ,-2.01  ,-0.48   ,0.62  ,-1.44   ,0.12   ,2.73
201904   ,3.51   ,1.65   ,2.43   ,6.61   ,3.07   ,1.03
201905  ,-6.37  ,-3.29  ,-1.33 ,-10.09  ,-4.44  ,-1.63
201906   ,2.98   ,2.92   ,2.54   ,5.75   ,5.34   ,5.38
201907  ,-0.93  ,-1.21  ,-0.27  ,-1.41  ,-1.85  ,-1.12
201908  ,-5.14  ,-2.65  ,-2.52  ,-4.35  ,-2.32  ,-0.99
201909   ,3.41   ,2.03   ,0.80   ,4.81   ,3.28   ,0.90
201910   ,3.58   ,4.11   ,3.87   ,4.48   ,3.78   ,2.29
201911   ,1.95   ,1.34   ,2.38   ,1.76   ,1.37   ,1.30
201912   ,4.81   ,4.62   ,5.70   ,3.25   ,3.07   ,3.85
202001  ,-4.40  ,-2.60  ,-1.81  ,-4.35  ,-2.01  ,-0.35
202002 ,-10.39 ,-10.14 ,-11.80  ,-8.63  ,-8.84  ,-7.99
202003 ,-18.79 ,-12.97 ,-14.32 ,-18.72 ,-14.15  ,-8.76
202004  ,12.71   ,8.23  ,12.71   ,4.98   ,6.74   ,7.99
202005   ,6.72   ,5.93   ,7.22   ,3.57   ,4.99   ,5.46
202006   ,1.58   ,1.56   ,4.23   ,2.58   ,3.01   ,4.35
202007  ,-0.36   ,1.91   ,6.55  ,-1.83   ,2.97   ,4.84
202008   ,9.04   ,6.33   ,8.30   ,7.71   ,5.87   ,4.11
202009  ,-1.72   ,0.71   ,0.95  ,-5.64  ,-1.64  ,-0.39
202010  ,-2.96  ,-2.57  ,-2.80  ,-3.20  ,-3.81  ,-3.13
202011  ,20.92   ,9.61  ,10.00  ,23.96  ,12.69  ,10.26
202012   ,6.73   ,5.80   ,8.23   ,4.67   ,4.62   ,5.55
202101   ,0.37  ,-0.08   ,1.76  ,-0.91  ,-1.40  ,-0.75
202102   ,6.48   ,2.09   ,3.19   ,6.83   ,1.10   ,1.07
202103   ,2.69   ,2.87   ,0.27   ,3.85   ,3.76   ,0.21
202104   ,1.44   ,3.22   ,6.09   ,3.06   ,3.66   ,3.94
202105   ,1.23   ,2.46   ,2.13   ,3.37   ,4.17   ,2.47
202106  ,-1.38  ,-1.10  ,-0.76  ,-0.21  ,-1.47  ,-1.51
202107  ,-0.62   ,1.09   ,0.04   ,0.52   ,1.08   ,0.48
202108   ,1.52   ,2.41   ,2.66   ,1.92   ,1.09   ,1.89
202109  ,-2.26  ,-1.03  ,-1.71  ,-4.93  ,-2.11  ,-2.61
202110  ,-0.83   ,0.81   ,3.32   ,2.34   ,2.93   ,3.05
202111  ,-5.99  ,-4.95  ,-4.77  ,-4.22  ,-3.44  ,-4.70
202112   ,2.06   ,3.37   ,3.27   ,3.49   ,5.00   ,2.82
202201  ,-5.82  ,-4.38  ,-7.74  ,-2.51  ,-3.59  ,-7.75
202202  ,-1.41  ,-0.07  ,-0.54  ,-1.52  ,-1.83  ,-2.83
202203  ,-0.50  ,-1.05   ,1.68  ,-2.82   ,1.18   ,1.77
202204  ,-9.17  ,-6.10  ,-6.57  ,-8.54  ,-6.37  ,-5.37
202205  ,-0.89   ,0.10   ,0.49   ,1.81   ,1.36   ,1.00
202206 ,-10.73  ,-7.57  ,-9.83  ,-9.33  ,-9.56  ,-8.73
202207   ,6.17   ,3.98   ,6.12   ,6.23   ,6.40   ,2.74
202208  ,-5.00  ,-3.67  ,-1.33  ,-7.44  ,-5.07  ,-3.10
202209 ,-12.73  ,-9.67 ,-10.13 ,-11.65  ,-8.73  ,-9.00
202210   ,3.24   ,1.86   ,3.87   ,6.36   ,4.78   ,4.97
202211  ,12.03   ,9.64   ,8.83  ,14.53  ,12.34  ,10.77
202212  ,-0.44   ,2.29   ,1.25  ,-2.25  ,-1.09   ,0.14
202301   ,8.71   ,5.11   ,4.76  ,11.09   ,8.54   ,5.33
202302  ,-4.00  ,-2.71  ,-2.30  ,-3.42  ,-2.43  ,-2.02
202303  ,-0.72   ,1.42   ,1.59   ,2.70   ,3.66   ,1.60
202304   ,1.15   ,1.59   ,0.79   ,2.11   ,2.61   ,3.17
202305  ,-5.01  ,-3.75  ,-2.82  ,-3.59  ,-4.50  ,-3.70
202306   ,1.81   ,2.37   ,3.36   ,4.18   ,4.09   ,5.48
202307   ,3.98   ,3.44   ,3.37   ,4.38   ,2.82   ,2.21
202308  ,-4.22  ,-2.59  ,-3.21  ,-4.81  ,-3.53  ,-3.60
202309  ,-4.91  ,-3.30  ,-4.41  ,-4.66  ,-2.48  ,-4.72
202310  ,-6.15  ,-4.47  ,-4.52  ,-4.84  ,-3.73  ,-4.09
202311   ,8.39   ,6.69   ,8.10   ,8.32   ,7.83  ,10.98
202312   ,8.69   ,6.60   ,6.04   ,7.42   ,5.98   ,3.69
202401  ,-3.89  ,-1.53   ,0.10  ,-2.79  ,-0.82   ,1.99
202402  ,-1.69  ,-0.40   ,2.76   ,0.74   ,0.95   ,4.78
202403   ,2.57   ,3.13   ,3.28   ,2.24   ,3.33   ,4.17
202404  ,-2.34  ,-2.53  ,-3.15  ,-0.81  ,-2.60  ,-4.41
202405   ,4.37   ,3.63   ,4.95   ,3.12   ,4.00   ,4.82
202406  ,-3.30  ,-1.44  ,-1.58  ,-3.19  ,-1.59  ,-1.84
202407   ,4.17   ,5.62   ,4.31   ,3.62   ,3.56   ,2.11
202408   ,0.53   ,1.12   ,1.18   ,2.78   ,3.57   ,2.30
202409   ,2.58   ,2.33   ,2.27   ,3.41   ,1.17   ,0.53
202410  ,-5.29  ,-4.23  ,-4.67  ,-7.42  ,-4.33  ,-3.50
202411  ,-1.19  ,-0.61   ,0.69  ,-2.86  ,-0.02   ,1.72
202412  ,-1.75  ,-1.54  ,-1.79  ,-1.52  ,-3.10  ,-2.51
202501   ,1.96   ,1.74   ,1.87   ,3.45   ,4.54   ,5.53
202502  ,-0.10   ,0.95   ,0.07   ,0.78   ,2.20   ,1.95
202503   ,0.40   ,2.29   ,3.10  ,-2.68   ,1.48   ,0.45
202504   ,3.76   ,4.82   ,5.03   ,3.23   ,4.62   ,5.64
202505   ,5.72   ,4.70   ,6.42   ,4.53   ,4.41   ,5.86
202506   ,5.25   ,4.00   ,5.26   ,2.71   ,2.70   ,3.35
202507   ,0.85   ,0.05   ,0.83  ,-1.76  ,-2.22  ,-0.90
202508   ,4.82   ,5.57   ,7.03   ,4.99   ,4.34   ,4.21
202509   ,1.61   ,1.68   ,3.30   ,0.97   ,0.66   ,3.94
202510  ,-1.64  ,-1.58  ,-1.56   ,2.29   ,0.43   ,0.83
202511   ,0.22   ,1.56   ,0.89   ,0.16   ,1.88   ,0.25
202512   ,2.07   ,2.78   ,3.59   ,2.01   ,2.99   ,3.41
202601   ,2.77   ,4.73   ,8.42   ,0.05   ,4.01   ,8.09
