,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199705   ,9.73   ,7.64   ,6.94   ,7.49   ,6.89   ,8.84
199706   ,0.54   ,2.49   ,1.03   ,5.74   ,4.42   ,4.61
199707  ,-6.18  ,-2.84   ,1.30  ,-3.18   ,0.49   ,5.28
199708  ,-4.14  ,-3.16   ,0.46  ,-4.87  ,-6.68  ,-7.87
199709  ,-3.47   ,0.28   ,3.98   ,0.81   ,4.58   ,8.63
199710  ,-2.35  ,-3.65  ,-8.52  ,-8.16  ,-6.85  ,-7.35
199711 ,-10.69  ,-4.98  ,-4.80  ,-4.60  ,-0.29  ,-1.21
199712  ,-8.22  ,-3.52  ,-1.19  ,-3.71   ,0.94   ,1.95
199801  ,11.03   ,1.70   ,0.44   ,3.99   ,3.35   ,4.66
199802   ,8.08   ,6.01   ,8.35   ,8.70   ,7.37   ,4.42
199803  ,-1.30   ,2.71   ,6.87   ,1.84   ,4.62   ,3.13
199804  ,-0.77   ,1.32   ,2.60   ,2.09   ,0.70   ,1.16
199805  ,-2.06  ,-0.36   ,0.50  ,-0.71   ,0.11   ,0.44
199806  ,-3.65  ,-3.15  ,-4.12  ,-2.68   ,0.18   ,1.36
199807  ,-3.35  ,-2.18   ,0.30  ,-2.56   ,0.61   ,3.45
199808 ,-12.21  ,-9.31 ,-11.15 ,-12.24 ,-11.10 ,-12.43
199809  ,-2.00  ,-1.57  ,-2.70   ,0.79  ,-2.47  ,-5.84
199810   ,8.39   ,6.04   ,6.41  ,12.24   ,9.75   ,8.36
199811   ,4.47   ,2.85   ,4.17   ,5.48   ,4.28   ,3.63
199812  ,-0.70   ,1.69   ,3.25  ,-0.46   ,2.28   ,7.03
199901  ,-0.92  ,-1.34   ,4.26   ,0.02  ,-1.73   ,4.08
199902  ,-0.97  ,-1.37   ,1.32   ,0.12  ,-2.61  ,-3.34
199903   ,7.50   ,3.62   ,4.54   ,9.96   ,4.17   ,0.20
199904  ,11.15   ,5.85   ,6.72   ,9.03   ,5.11   ,1.01
199905  ,-1.02  ,-1.17   ,0.23  ,-4.82  ,-4.90  ,-3.35
199906   ,4.81   ,5.92  ,12.41   ,4.09   ,4.28   ,5.30
199907   ,3.26   ,3.67   ,6.16   ,3.22   ,2.88   ,4.11
199908   ,1.07   ,1.65   ,8.64   ,1.02   ,0.80   ,2.43
199909   ,0.27   ,1.34   ,3.65   ,0.53   ,0.91   ,3.65
199910  ,-2.63  ,-1.92   ,2.90   ,0.25   ,2.96   ,7.25
199911  ,-2.83  ,-1.93   ,6.06  ,-2.59   ,2.04  ,14.77
199912   ,0.65   ,2.55   ,4.65   ,3.07   ,6.03  ,14.93
200001  ,-1.88  ,-0.23   ,1.44  ,-9.23  ,-5.88  ,-6.10
200002   ,0.21  ,-0.57   ,9.70  ,-1.96   ,0.27   ,8.66
200003   ,6.49   ,4.30  ,-4.41   ,7.62   ,7.08  ,-4.14
200004  ,-5.24  ,-5.75 ,-15.47  ,-1.39  ,-4.10 ,-10.07
200005   ,2.58   ,2.50  ,-3.56   ,4.28   ,0.69  ,-8.87
200006   ,6.63   ,5.12   ,4.66   ,3.27   ,3.65   ,3.06
200007  ,-4.43  ,-3.63  ,-4.46  ,-2.63  ,-1.97  ,-6.14
200008   ,1.02   ,2.24   ,5.96   ,0.95   ,0.43   ,3.38
200009  ,-3.85  ,-2.96  ,-4.77  ,-2.58  ,-2.77  ,-8.01
200010  ,-8.14  ,-5.76  ,-9.56   ,1.15  ,-2.31  ,-7.19
200011  ,-1.93  ,-0.57  ,-6.71  ,-3.53  ,-0.59  ,-8.08
200012   ,1.27   ,1.94   ,2.99  ,-2.14   ,4.28   ,1.48
200101   ,3.74   ,1.14   ,1.79   ,5.71  ,-0.57  ,-4.03
200102  ,-4.99  ,-0.31  ,-3.04 ,-14.05  ,-5.96  ,-3.82
200103 ,-10.45  ,-5.55  ,-6.70  ,-9.55  ,-7.44  ,-6.43
200104   ,6.57   ,7.51   ,8.02  ,11.96   ,6.48   ,5.35
200105  ,-1.74   ,0.43   ,1.78  ,-7.28  ,-0.59  ,-0.83
200106  ,-7.93  ,-0.58  ,-0.85  ,-8.25  ,-1.93   ,0.53
200107  ,-5.69  ,-2.39  ,-2.99  ,-3.78  ,-1.96  ,-1.95
200108  ,-3.57   ,1.85   ,3.23  ,-7.94   ,0.41   ,1.53
200109 ,-19.26  ,-9.38  ,-9.59 ,-13.82  ,-9.54  ,-7.50
200110   ,7.25   ,2.57   ,3.29   ,6.07   ,0.81   ,2.00
200111   ,8.24   ,1.27  ,-0.63   ,8.54   ,1.51  ,-0.42
200112  ,-2.72  ,-2.31  ,-1.98  ,-1.92   ,1.17   ,0.57
200201  ,-2.36  ,-2.22  ,-0.94  ,-7.28  ,-3.85  ,-2.77
200202  ,-0.59   ,2.98   ,3.86  ,-1.74   ,2.72   ,2.26
200203   ,5.67   ,3.52   ,3.83   ,8.55   ,4.30   ,3.12
200204   ,1.27   ,3.84   ,4.81  ,-2.44   ,2.24   ,2.21
200205   ,2.84   ,5.61   ,7.12   ,0.96   ,2.05   ,3.32
200206  ,-6.38  ,-0.35  ,-0.30  ,-6.83  ,-2.02  ,-0.21
200207  ,-8.62  ,-5.45  ,-5.01 ,-10.96  ,-8.88  ,-8.04
200208  ,-3.28  ,-0.52   ,0.67  ,-0.68   ,0.71  ,-0.23
200209 ,-13.68  ,-5.99  ,-5.54 ,-14.71  ,-9.36  ,-5.45
200210  ,-0.44  ,-1.61   ,0.10   ,8.48   ,2.98   ,1.35
200211   ,5.13   ,1.71   ,1.74   ,8.50   ,2.30   ,1.38
200212  ,-3.79   ,1.53   ,3.60  ,-7.81  ,-1.23   ,2.45
200301  ,-0.74   ,0.04   ,2.05  ,-2.35  ,-3.83  ,-1.55
200302  ,-2.08   ,0.28   ,1.38  ,-4.94  ,-0.86   ,0.65
200303  ,-2.52  ,-0.27  ,-0.39  ,-2.92  ,-1.20  ,-1.07
200304  ,12.42   ,6.76   ,6.03  ,12.47   ,9.17   ,5.13
200305  ,13.35   ,7.93   ,7.63   ,8.03   ,6.52   ,6.34
200306   ,8.26   ,5.12   ,3.78   ,4.78   ,2.43   ,0.34
200307   ,5.70   ,2.57   ,2.59   ,4.41   ,1.46  ,-0.31
200308   ,7.06   ,4.25   ,6.61   ,4.57   ,2.07   ,1.83
200309   ,7.17   ,6.69   ,7.16   ,3.69   ,3.36   ,4.31
200310   ,4.63   ,4.56   ,8.13   ,3.33   ,6.37   ,8.16
200311   ,0.54   ,1.31   ,0.45   ,3.14   ,2.44  ,-0.56
200312   ,4.57   ,5.68   ,5.90   ,7.15   ,7.06   ,6.61
200401   ,4.01   ,4.74   ,7.81   ,1.32   ,1.96   ,4.36
200402   ,2.44   ,3.34   ,3.15   ,2.41   ,2.49   ,2.27
200403   ,3.94   ,5.59   ,4.73   ,0.43   ,0.15   ,2.95
200404  ,-2.54  ,-1.91  ,-2.55  ,-1.43  ,-3.39  ,-3.93
200405  ,-0.69  ,-0.82  ,-2.74   ,0.78   ,0.68  ,-1.21
200406   ,2.66   ,4.80   ,5.57   ,2.00   ,2.94   ,3.79
200407  ,-3.36  ,-2.83  ,-4.36  ,-3.35  ,-2.47  ,-5.87
200408  ,-0.34   ,1.09   ,1.41   ,0.55   ,0.39   ,2.46
200409   ,2.45   ,2.23   ,2.47   ,1.92   ,3.52   ,2.43
200410   ,3.24   ,3.94   ,4.03   ,3.83   ,4.01   ,3.36
200411   ,6.31   ,6.75   ,7.35   ,5.94   ,6.30   ,6.26
200412   ,3.03   ,4.68   ,5.06   ,3.68   ,4.95   ,3.98
200501   ,1.51   ,2.66   ,3.33  ,-2.11  ,-1.43  ,-0.47
200502   ,3.41   ,4.36   ,6.06   ,3.65   ,4.38   ,3.98
200503  ,-2.67  ,-0.72  ,-0.61  ,-1.53  ,-2.23  ,-2.26
200504  ,-3.07  ,-1.50  ,-1.46  ,-2.88  ,-1.91  ,-2.72
200505  ,-2.75  ,-2.07  ,-1.77  ,-0.18  ,-0.23   ,0.80
200506   ,1.66   ,2.57   ,3.79   ,0.77   ,2.05   ,4.38
200507   ,2.68   ,2.90   ,4.72   ,3.45   ,3.03   ,4.32
200508   ,2.25   ,3.51   ,4.69   ,2.61   ,2.95   ,6.11
200509   ,1.25   ,2.72   ,3.94   ,2.97   ,3.96   ,5.91
200510  ,-2.52  ,-1.52  ,-1.91  ,-2.50  ,-2.97  ,-4.43
200511   ,0.93   ,2.74   ,2.96   ,1.92   ,2.78   ,2.87
200512   ,5.33   ,7.08   ,8.71   ,4.71   ,5.08   ,6.45
200601   ,6.04   ,6.52   ,7.94   ,4.07   ,6.07   ,8.29
200602  ,-0.28  ,-1.16  ,-0.62   ,1.02  ,-0.16  ,-1.37
200603   ,3.19   ,4.11   ,5.90   ,3.09   ,3.24   ,4.85
200604   ,4.06   ,4.81   ,7.01   ,4.52   ,5.01   ,5.00
200605  ,-4.91  ,-5.73  ,-6.69  ,-2.08  ,-4.49  ,-6.13
200606  ,-2.28  ,-2.31  ,-3.07  ,-0.04  ,-0.04  ,-0.62
200607  ,-2.55  ,-1.44  ,-1.14   ,0.67   ,1.21   ,0.24
200608   ,2.56   ,2.41   ,3.22   ,2.29   ,3.77   ,1.86
200609  ,-1.29  ,-0.66  ,-0.40   ,0.30   ,0.22  ,-0.16
200610   ,2.46   ,2.61   ,4.89   ,4.20   ,3.75   ,3.78
200611   ,2.11   ,2.99   ,5.00   ,3.11   ,2.95   ,3.36
200612   ,1.23   ,2.73   ,3.32   ,2.10   ,2.88   ,5.12
200701   ,2.35   ,2.47   ,3.43   ,0.43   ,1.20   ,0.66
200702   ,1.76   ,2.67   ,2.80   ,0.13   ,0.56   ,2.04
200703   ,1.35   ,2.83   ,4.80   ,2.77   ,3.17   ,2.63
200704   ,2.34   ,3.18   ,7.32   ,4.72   ,4.73   ,2.95
200705   ,0.61   ,1.20   ,3.61   ,2.73   ,2.11   ,2.44
200706   ,1.27   ,1.46   ,2.44   ,1.02  ,-0.51   ,0.64
200707  ,-0.40   ,0.75   ,2.30  ,-1.67  ,-1.93   ,0.64
200708  ,-6.15  ,-5.43  ,-7.36  ,-2.07  ,-1.02  ,-2.32
200709   ,1.22   ,2.92   ,5.96   ,3.62   ,6.25   ,8.04
200710   ,4.24   ,3.43   ,6.92   ,3.66   ,4.47   ,5.79
200711  ,-7.73  ,-5.45  ,-8.56  ,-4.84  ,-2.92  ,-4.56
200712  ,-3.01  ,-1.99  ,-2.41  ,-3.27  ,-0.82  ,-1.81
200801  ,-8.43  ,-7.55 ,-11.00  ,-7.47  ,-8.76  ,-9.29
200802   ,4.36   ,3.43   ,5.68  ,-0.88   ,2.07   ,3.51
200803  ,-4.22  ,-1.49  ,-1.76  ,-0.99  ,-0.87  ,-1.88
200804   ,3.20   ,2.39   ,2.39   ,7.58   ,4.94   ,5.49
200805   ,2.61   ,1.94   ,3.21  ,-0.89   ,2.03   ,3.34
200806 ,-10.12  ,-5.64  ,-3.70 ,-13.41  ,-8.17  ,-4.39
200807  ,-5.79  ,-4.20  ,-5.54  ,-1.68  ,-2.76  ,-6.08
