Date,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
201706  ,-0.63   ,0.42   ,1.00  ,-1.41   ,0.33   ,3.48
201707   ,1.33   ,3.19   ,5.03   ,2.99   ,5.17   ,7.84
201708   ,0.36   ,1.78   ,2.02   ,1.29   ,2.01   ,2.71
201709   ,0.00  ,-0.10   ,1.24  ,-0.53  ,-1.00   ,0.49
201710   ,2.46   ,2.11   ,3.81   ,1.96   ,2.86   ,4.50
201711   ,0.58   ,1.12   ,1.47  ,-0.63  ,-0.65   ,2.16
201712   ,3.45   ,3.68   ,4.29   ,3.11   ,4.86   ,2.76
201801   ,5.21   ,6.37   ,6.79   ,6.87   ,8.53   ,7.81
201802  ,-3.46  ,-2.76  ,-2.50  ,-5.23  ,-4.31  ,-4.16
201803  ,-1.81   ,0.45  ,-0.16  ,-1.83  ,-1.41  ,-1.68
201804  ,-0.70  ,-0.18  ,-0.00  ,-0.53   ,0.94  ,-2.10
201805  ,-2.74  ,-1.81  ,-1.04  ,-4.50  ,-4.51  ,-0.20
201806  ,-6.19  ,-6.97  ,-6.68  ,-3.41  ,-4.23  ,-4.58
201807   ,0.25  ,-0.05   ,0.31   ,2.65   ,3.12   ,0.50
201808  ,-3.85  ,-2.26  ,-3.16  ,-3.36  ,-2.13  ,-2.43
201809  ,-3.29  ,-1.76  ,-3.29  ,-1.79  ,-1.07  ,-0.29
201810  ,-8.03  ,-8.87 ,-11.06  ,-8.62  ,-8.49  ,-8.90
201811   ,4.13   ,4.06   ,4.40   ,4.30   ,5.95   ,2.57
201812  ,-1.82  ,-0.77  ,-1.09  ,-1.20  ,-3.03  ,-1.61
201901   ,6.01   ,5.43   ,5.38   ,9.73   ,8.05   ,5.79
201902   ,1.04   ,1.41  ,-0.15   ,0.57   ,0.18   ,0.28
201903   ,0.92   ,1.34   ,2.44   ,0.41   ,0.29   ,2.44
201904   ,0.63   ,0.20   ,0.32   ,3.51   ,1.56   ,1.12
201905  ,-5.91  ,-4.18  ,-2.61  ,-8.34  ,-6.92  ,-3.76
201906   ,2.04   ,4.14   ,4.27   ,4.89   ,6.51   ,5.17
201907  ,-3.57  ,-1.39  ,-1.72  ,-1.06  ,-1.72  ,-1.68
201908  ,-5.63  ,-4.61  ,-1.79  ,-6.32  ,-4.59  ,-3.10
201909   ,2.16   ,2.11   ,1.79   ,2.62   ,2.42   ,1.30
201910   ,1.38   ,2.17   ,3.88   ,4.45   ,3.50   ,4.79
201911  ,-1.54  ,-0.84  ,-1.94  ,-1.07   ,0.81  ,-0.87
201912   ,6.22   ,5.64   ,6.73   ,7.21   ,6.95   ,7.31
202001  ,-4.27  ,-2.68  ,-1.68  ,-7.40  ,-4.50  ,-3.15
202002  ,-7.65  ,-4.84  ,-4.44  ,-9.23  ,-4.55  ,-4.47
202003 ,-23.08 ,-17.10 ,-19.55 ,-24.10 ,-14.76 ,-15.14
202004  ,12.70   ,9.90  ,13.97  ,10.08   ,8.98  ,10.33
202005   ,1.20   ,2.20   ,3.44   ,2.36  ,-0.24   ,3.44
202006   ,9.11   ,7.72   ,8.24   ,4.80   ,4.82  ,10.65
202007   ,6.44   ,6.81  ,10.50   ,5.35   ,6.02  ,13.28
202008   ,4.38   ,3.70   ,5.06   ,2.39   ,1.99   ,2.87
202009  ,-2.01  ,-1.11  ,-0.19  ,-3.90  ,-0.10  ,-2.56
202010  ,-0.13   ,0.08  ,-1.75  ,-0.07   ,0.83   ,4.11
202011  ,14.33   ,9.89  ,11.31  ,17.29  ,12.82   ,3.48
202012   ,4.81   ,5.91   ,6.99   ,6.37  ,10.02   ,6.01
202101  ,-1.25   ,0.03   ,3.66  ,-2.17   ,1.10   ,6.96
202102   ,5.61   ,5.33   ,5.69   ,4.34   ,0.92   ,0.77
202103   ,1.91   ,3.05   ,1.66   ,3.01  ,-1.45  ,-3.01
202104   ,4.22   ,6.26   ,5.44   ,1.03   ,1.81   ,5.54
202105   ,4.03   ,2.93   ,2.90   ,1.50   ,3.15   ,2.28
202106   ,1.87   ,2.76   ,4.94  ,-0.65  ,-0.85   ,3.86
202107  ,-5.06  ,-2.08   ,0.17  ,-6.72  ,-5.92  ,-4.19
202108   ,0.50   ,1.54   ,0.86   ,0.38   ,3.62   ,2.40
202109  ,-2.54  ,-1.27  ,-2.38  ,-2.83  ,-2.69  ,-4.40
202110  ,-1.31   ,0.86   ,1.05   ,1.56   ,0.05   ,1.35
202111  ,-2.89  ,-2.96  ,-2.65  ,-5.93  ,-3.16  ,-2.24
202112   ,2.41   ,3.91   ,5.02   ,0.22   ,3.94   ,1.44
202201  ,-3.78  ,-3.57  ,-4.43  ,-1.10  ,-1.70  ,-4.14
202202  ,-4.48  ,-1.61  ,-2.06  ,-5.97  ,-1.79   ,0.35
202203  ,-2.75  ,-0.22   ,1.47  ,-3.98  ,-0.70  ,-0.81
202204  ,-5.45  ,-4.19  ,-3.30  ,-5.15  ,-5.75  ,-4.74
202205  ,-1.33  ,-0.60  ,-1.49   ,0.85  ,-0.17   ,0.86
202206  ,-4.99  ,-6.73  ,-6.57  ,-4.13  ,-8.08  ,-7.56
202207  ,-0.24   ,1.32   ,2.91  ,-5.74   ,2.86   ,2.00
202208   ,1.14   ,0.62   ,2.07   ,1.39  ,-0.18   ,2.21
202209 ,-12.30  ,-9.50  ,-7.95 ,-13.41 ,-10.43  ,-8.15
202210  ,-1.81  ,-0.76  ,-0.93  ,-3.61  ,-1.75  ,-0.58
202211  ,13.37  ,10.30   ,7.95  ,20.67  ,11.92   ,7.79
202212   ,1.70   ,0.42  ,-0.77   ,0.27  ,-2.27  ,-1.79
202301   ,7.54   ,5.23   ,5.73   ,9.72   ,6.75   ,4.06
202302  ,-5.08  ,-2.19  ,-2.29  ,-7.07  ,-4.92  ,-4.78
202303  ,-0.78   ,1.07   ,1.16   ,1.09   ,3.93   ,2.00
202304   ,0.56   ,0.32   ,1.77  ,-2.85   ,0.30   ,0.85
202305  ,-1.05  ,-0.23   ,0.12  ,-2.00  ,-0.16  ,-2.00
202306   ,3.93   ,3.74   ,5.35   ,4.14   ,3.65   ,4.49
202307   ,4.08   ,3.80   ,5.48   ,8.13   ,3.96   ,7.09
202308  ,-4.22  ,-3.03  ,-1.66  ,-6.84  ,-4.78  ,-4.20
202309  ,-2.78  ,-1.24  ,-1.70  ,-2.51  ,-1.79  ,-2.94
202310  ,-4.64  ,-3.58  ,-3.14  ,-4.32  ,-3.29  ,-4.81
202311   ,6.75   ,8.00   ,8.58   ,7.02   ,7.38   ,9.96
202312   ,2.41   ,3.59   ,4.08   ,5.28   ,4.43   ,1.99
202401  ,-6.41  ,-3.52  ,-0.15  ,-6.36  ,-3.39  ,-3.15
202402   ,2.66   ,3.41   ,4.13   ,2.87   ,4.00   ,6.61
202403  ,-2.12  ,-0.44  ,-1.83   ,0.19   ,3.70   ,0.78
202404   ,0.52   ,1.64   ,3.48   ,2.14  ,-0.49   ,0.83
202405   ,0.61   ,0.56   ,0.43  ,-0.36   ,0.37   ,2.69
202406  ,-1.55   ,2.17   ,2.98   ,1.62   ,4.78   ,2.33
202407  ,-0.13   ,0.85   ,1.49   ,1.73   ,0.84  ,-1.27
202408   ,0.75   ,1.09   ,1.66   ,1.88   ,1.33   ,1.04
202409   ,9.13   ,6.00   ,3.52   ,7.59   ,6.20   ,3.98
202410  ,-4.22  ,-3.40  ,-2.80  ,-6.78  ,-4.06  ,-1.41
202411  ,-1.69  ,-1.62  ,-2.06  ,-3.28  ,-3.01  ,-3.36
202412  ,-1.54  ,-1.28   ,0.05  ,-3.34  ,-0.29   ,1.41
202501  ,-0.67  ,-1.39  ,-3.26   ,1.40   ,1.39   ,1.18
202502  ,-0.35   ,0.23  ,-1.47  ,-0.73   ,0.35  ,-0.95
202503  ,-1.52  ,-0.42   ,1.50   ,2.35   ,2.46  ,-1.85
202504   ,2.15   ,1.53   ,0.87   ,1.71   ,2.15   ,0.68
202505   ,6.36   ,6.16   ,7.01   ,3.46   ,4.40   ,5.42
202506   ,4.66   ,4.54   ,5.86   ,5.32   ,5.04   ,6.85
202507   ,1.19   ,1.60   ,3.50   ,3.31   ,1.23   ,0.80
202508   ,2.21   ,2.73   ,6.59   ,1.42   ,2.52   ,1.73
202509   ,1.49   ,1.00   ,2.35   ,4.69   ,6.07   ,6.87
202510  ,-0.49  ,-0.42  ,-1.93   ,1.04   ,5.05   ,4.47
202511  ,-3.15  ,-1.47  ,-2.18  ,-1.30  ,-1.29  ,-3.18
202512  ,-0.37   ,1.10   ,1.94   ,0.34   ,1.05   ,5.66
202601   ,2.53   ,3.98   ,7.03   ,2.06   ,6.64  ,13.59
