Date,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199604   ,5.24   ,5.01   ,1.57   ,3.78   ,3.05   ,3.57
199605  ,-0.95  ,-3.44  ,-5.88  ,-2.40  ,-1.54   ,0.25
199606  ,-0.29   ,1.32   ,4.43   ,0.23   ,1.33   ,2.20
199607  ,-4.61  ,-3.87  ,-2.67  ,-6.88  ,-6.24  ,-4.25
199608  ,-0.89   ,3.57   ,7.22   ,1.93   ,4.10   ,2.42
199609   ,1.45   ,3.10   ,5.26   ,1.08   ,1.10   ,1.99
199610  ,-2.69  ,-0.93   ,3.66  ,-1.17  ,-2.19  ,-2.43
199611   ,0.24   ,1.24  ,-1.47   ,0.77   ,1.47   ,1.87
199612  ,-0.90  ,-0.67  ,-1.18   ,0.48   ,0.61   ,1.24
199701   ,5.99   ,7.69   ,8.38   ,7.48   ,5.47   ,8.41
199702   ,7.31   ,6.39   ,6.32   ,4.77   ,5.82   ,4.46
199703  ,-1.27   ,0.49   ,0.79  ,-2.95  ,-2.40  ,-1.70
199704  ,-4.16  ,-2.76  ,-3.47  ,-4.83  ,-0.48  ,-1.36
199705  ,-0.43   ,0.12   ,1.75   ,0.24   ,4.14   ,4.19
199706   ,2.26   ,2.38   ,4.28   ,1.81   ,5.22   ,7.41
199707   ,1.57   ,1.25   ,1.04   ,0.42   ,0.11   ,1.64
199708  ,-8.20  ,-9.37  ,-9.39 ,-12.28 ,-12.08 ,-11.36
199709   ,0.42  ,-0.29  ,-0.99   ,0.08   ,2.01   ,3.82
199710 ,-13.17 ,-13.24 ,-12.52 ,-15.44 ,-17.16 ,-16.35
199711 ,-12.96  ,-8.52  ,-4.35  ,-9.89  ,-4.48  ,-2.48
199712  ,-5.47  ,-4.05  ,-2.94  ,-1.36   ,0.41  ,-0.72
199801  ,-7.56  ,-5.62  ,-5.41  ,-6.66  ,-7.92  ,-4.34
199802  ,13.25  ,12.11   ,6.87  ,10.04   ,8.68  ,13.99
199803   ,5.51   ,4.75   ,4.63   ,5.00   ,4.42   ,2.15
199804  ,-2.17   ,1.14   ,2.05   ,2.47   ,0.37  ,-1.45
199805  ,-7.33  ,-4.85  ,-4.03 ,-12.22 ,-11.89 ,-10.37
199806 ,-10.27  ,-8.88  ,-8.94 ,-12.46  ,-9.64 ,-11.19
199807   ,2.16  ,-0.00  ,-0.11   ,0.97   ,2.66   ,4.17
199808 ,-17.21 ,-18.94 ,-16.80 ,-24.55 ,-28.13 ,-24.88
199809   ,2.97   ,0.42  ,-0.46   ,6.62   ,5.06   ,2.76
199810   ,7.12   ,2.25   ,0.68   ,9.96   ,9.88   ,7.08
199811  ,15.83   ,5.89   ,2.09  ,10.63   ,7.67   ,2.74
199812  ,-0.07  ,-0.18  ,-1.28  ,-4.00  ,-0.63   ,1.93
199901  ,-1.67  ,-1.51  ,-4.35  ,-1.80  ,-1.17  ,-1.20
199902  ,-1.34  ,-0.25  ,-1.15  ,-0.08   ,0.79   ,0.41
199903   ,8.41   ,7.79   ,6.35  ,12.72  ,10.32   ,6.65
199904  ,14.04  ,11.80   ,8.96  ,13.33  ,11.58  ,14.69
199905   ,2.32   ,4.66   ,5.35  ,-0.17  ,-0.46   ,0.89
199906  ,10.95  ,11.70  ,15.00  ,11.14   ,9.12  ,12.67
199907  ,-2.67   ,1.29   ,8.04   ,2.17  ,-2.64  ,-2.42
199908   ,0.15   ,3.84  ,12.15   ,0.79   ,3.12   ,4.30
